index,original,translation,scores,mean,z_scores,z_mean,QE_score
36,"Middlesex County Council decided to apply for a formal grant of arms from the College of Arms, with the addition of a heraldic ""difference"" to the attributed arms.","?????????? ?????? ??????? ?? ????? ?? ?????? ?? ??????? ?????? ?????? ?? ??? ????? ???? ?? ????? ????, ?????? ??????? ???????? ??? ?? ????????? ???? ????? ???","[80, 80, 76, 59]",73.75,"[-0.7522266830802803, -0.694570055658651, 0.39172291828395733, -1.3615935089750075]",-0.604166832,0.642298043
37,Cadmium selenide is an inorganic compound with the formula CdSe.,??????? ???????? ?? ????????? ????? ?? ????? ????? CdSe ???,"[95, 70, 88, 79]",83,"[0.5387802100780963, -1.5676939471214433, 1.622910718024002, 0.43328324949455194]",0.256820058,0.747901857
38,"Sharafuddeen Bu Ali Shah Qalandar Panipati renowned as Bu Ali Qalandar (1209-1324 CE) born in Panipat, Haryana, India was a Qalandar and Sufi saint of the Chisht? Order who lived and taught in India.","?????????? ?? ??? ??? ????? ???????, ?? ?? ??? ????? (1209-1324 ???) ?? ??? ??? ???????? ???, ?? ???? ??????, ???????, ???? ??? ??? ???","[60, 50, 49, 55]",53.5,"[-2.473569207291449, -3.3139417300470275, -2.378449631131143, -1.7205688606689193]",-2.471632357,0.566423118
39,It stands 60 centimetres high and weighs approximately 11 kilograms.,???? ????? 60 ????????? ?? ??? ???? 11 ????????? ???,"[90, 85, 89, 90]",88.5,"[0.10844457902530406, -0.2580081099272549, 1.7255097013356724, 1.4204654666528096]",0.749102909,0.782842696
40,Legislation regarding democratic decentralized bodies and the Agricultural Land Ceiling Act were passed during his tenure as Chief Minister.,??????????? ?? ??? ??? ???? ???????? ?? ????? ??????????? ????????????? ??????? ?? ???? ???? ???? ??????? ?? ???? ??? ????? ????? ??? ?? ???,"[95, 95, 66, 66]",80.5,"[0.5387802100780963, 0.6151157815355373, -0.6342669148327466, -0.7333866435106617]",-0.053439392,0.756288946
41,"The Punjab Police Department refused to believe the abduction report provided by SP Salwinder Singh after he was released by the attackers, and the other survivor, Madan Gopal, was tortured by the police interrogators upon reporting the incident.","????? ????? ????? ?? ???????? ?????? ???? ??? ???? ?? ??? ???? ??????? ???? ?????? ?????? ?? ?? ????? ?? ??????? ?? ??????? ???? ?? ????? ?? ????, ?? ???? ?? ??????? ???? ?? ??? ????? ?? ??????????? ?????? ????? ????? ??? ??? ????? ?? ????????? ???? ????","[90, 90, 67, 67]",78.5,"[0.10844457902530406, 0.17855383580414114, -0.5316679315210762, -0.6436428055871838]",-0.222078081,0.579831004
42,"The Kalakkad Mundanthurai Tiger Reserve has a large number of employees of the Electricity Board and Public Works Department who stay in three colonies and work at Karayar, Upper Dam, Servalar and Upper Kodayar reservoirs within the reserve.","??????? ????????? ????? ?????? ??? ????? ????? ?? ??? ??????? ????? ?? ???? ?????? ??? ???????? ???, ?? ??? ????????? ??? ???? ??? ?? ?????? ?? ???? ??????, ???? ????, ?????? ?? ???? ??????? ??????? ??? ??? ???? ????","[80, 80, 70, 74]",76,"[-0.7522266830802803, -0.694570055658651, -0.22387098158606503, -0.015435940122837947]",-0.421525915,0.600150466
43,"Handling the ball deliberately, tripping an opponent, or pushing an opponent, are examples of ""penal fouls"", punishable by a direct free kick or penalty kick depending on where the offence occurred.","???????? ???? ?? ???????, ????????????? ?? ????? ???? ?? ????????????? ?? ????? ????, ???????? ???? ?? ?????? ???, ?? ????????? ???? ??? ?? ???????? ??? ?????? ?????? ??, ?? ?? ??? ?? ?????? ???? ?? ?? ????? ???? ????","[45, 50, 65, 65]",56.25,"[-3.7645761004498257, -3.3139417300470275, -0.736865898144417, -0.8231304814341397]",-2.159628553,0.64816606
44,"After a few months, Gossard started practicing with fellow Seattle guitarist Mike McCready, whose band, Shadow, had broken up; McCready in turn encouraged Gossard to reconnect with Ament.","??? ?????? ?? ???, ????????? ?? ???? ????? ????????? ???? ????????? ?? ??? ?????? ???? ???? ?? ????, ????? ????, ???? ?? ????? ????????? ?? ???? ???? ??, ???? ??? ????????? ?? ????? ?? ??? ??? ?? ?????? ?? ??? ??????????? ?????","[60, 50, 78, 86]",68.5,"[-2.473569207291449, -3.3139417300470275, 0.5969208849072981, 1.0614901149588978]",-1.032274984,0.555051982
45,"Even before the book was published, Benjamin Norman and Baron Emanuel von Friedrichsthal traveled to Chichen after meeting Stephens, and both published the results of what they found.","?????? ?? ??????? ?? ???? ??, ???????? ?????? ?? ???? ??????? ??? ???????? ???? ?? ??????? ?? ????? ?? ??? ????? ?? ?????? ?? ?? ????? ?? ?? ???? ???? ?????? ???????? ????","[70, 70, 79, 78]",74.25,"[-1.6128979451858647, -1.5676939471214433, 0.6995198682189685, 0.3435394115710739]",-0.534383153,0.696147621
46,"For the first time three spots were on offer to qualify for the World Cup, and matches were played over 50 overs a side, though white clothing and red balls were still used.","???? ??? ????? ?? ?? ??? ????????? ???? ?? ??? ??? ??????? ?? ????? ?? ?? ??, ?? ??? 50 ??? ????? ??? ???? ?? ??, ??????? ???? ?????? ?? ??? ?????? ?? ??? ?? ????? ???? ???? ???","[95, 95, 65, 78]",83.25,"[0.5387802100780963, 0.6151157815355373, -0.736865898144417, 0.3435394115710739]",0.190142376,0.668260157
47,"After reentering Baltistan, its valley supports the Shingo River Road, which is also called the Kargil–Skardu Road.","??????????? ??? ???? ?????? ???? ?? ???, ???? ???? ????? ??? ???? ?? ?????? ???? ??, ???? ??????-???????? ???? ?? ??? ???? ???","[70, 70, 87, 88]",78.75,"[-1.6128979451858647, -1.5676939471214433, 1.5203117347123316, 1.2409777908058537]",-0.104825592,0.710885704
48,"Swara Bhaskar starred as Chanda Sahay, a high-school drop-out household maid and single mother of a sullen young girl named Apeksha, played by Ria Shukla.","?? ????? ??? ????? ?????? ?? ???? ???? ?? ?????? ????? ??, ?? ?? ??? ????? ?????-??? ????? ??????? ?? ???? ?????? ?????? ????? ?? ??????? ??? ?? ?? ???? ????? ?? ??? ??? ???","[95, 95, 86, 85]",90.25,"[0.5387802100780963, 0.6151157815355373, 1.4177127514006613, 0.9717462770354197]",0.885838755,0.619409144
49,"He called ""Memories"" ""the sound of the vibrant culture of the melting pot"", something he felt was also present in ""Familia"" which he called ""a reggaeton track that Miles would almost certainly enjoy listening to alongside his streetwise, Puerto Rican mother Rio"".","""????????"" ""?????"" ""??"" ""???????? ??? ?? ????? ???????? ?? ?????"" ""???, ??? ??? ?? ???????? ????? ???? ??"" ""????????"" ""??? ?? ????? ??, ???? ????????"" ""?? ?????? ????? ??? ???? ?????? ??????? ??? ?? ???? ???????????, ???????? ???? ??? ???? ?? ??? ????? ?? ???? ??????""","[75, 70, 58, 58]",65.25,"[-1.1825623141330726, -1.5676939471214433, -1.4550587813261098, -1.4513373468984856]",-1.414163097,0.407081962
50,They are also used to write Inuktitut in the eastern Canadian Arctic; there they are co-official with the Latin script in the territory of Nunavut.,"???? ????? ?????? ?????? ??????? ??? ?????????? ????? ?? ??? ?? ???? ???? ??, ???? ?? ??????? ?? ??????? ??? ????? ???? ?? ??? ??-???????? ????","[95, 95, 67, 79]",84,"[0.5387802100780963, 0.6151157815355373, -0.5316679315210762, 0.43328324949455194]",0.263877827,0.669089735
51,"Brazil has a dense and complex system of rivers, one of the world's most extensive, with eight major drainage basins, all of which drain into the Atlantic.","??????? ??? ?????? ?? ?? ??? ?? ???? ??????? ??, ?? ?????? ?? ???? ?????? ?????? ??? ?? ?? ??, ?????? ?? ?????? ?? ?????? ????? ???, ?? ??? ???????? ??? ??? ???? ????","[90, 90, 77, 89]",86.5,"[0.10844457902530406, 0.17855383580414114, 0.4943219015956277, 1.3307216287293318]",0.528010486,0.743860185
52,"The dissolution was challenged by the president of the assembly in the notable case of Federation of Pakistan v. Maulvi Tamizuddin Khan, in which the federal court took the side of the governor general, in spite of dissent from one judge.","??????? ?? ????????? ???? ????? ?????????? ??? ?? ????????? ????? ??? ??????? ?? ??????? ?????? ????? ?? ?????? ?? ?? ??, ?????? ?? ????????? ?? ?????? ?? ?????? ????? ????? ?? ?????? ???? ?? ???? ???? ???","[95, 95, 67, 67]",81,"[0.5387802100780963, 0.6151157815355373, -0.5316679315210762, -0.6436428055871838]",-0.005353686,0.664286792
53,Veer Kunwar Singh University is located here.,??? ????? ???? ????????????? ???? ????? ???,"[90, 95, 77, 86]",87,"[0.10844457902530406, 0.6151157815355373, 0.4943219015956277, 1.0614901149588978]",0.569843094,0.795399964
54,Thus a particular Tibetan Buddhist sect (Kagyu) is capitalised Bka' brgyud and not bKa' brgyud.,?? ?????? ?? ????? ??????? ????? ???????? (??????) ?? ???????? ???? ??????? ?? ? ?? ???? ????????,"[50, 50, 78, 75]",63.25,"[-3.3342404693970336, -3.3139417300470275, 0.5969208849072981, 0.07430789780064002]",-1.494238354,0.656228185
55,"Switchfoot has been involved in a number of humanitarian causes, including DATA, the ONE Campaign, the Keep A Breast Foundation, Habitat for Humanity, Invisible Children, and To Write Love on Her Arms.","???????? ?? ?????? ?????? ??? ????? ??? ??, ?????? ????, ?? ??????, ??? ? ??????? ????????, ??????? ??? ??????????, ???????? ???????? ?? ?? ???? ?? ?? ?? ?????? ????? ????","[75, 70, 77, 77]",74.75,"[-1.1825623141330726, -1.5676939471214433, 0.4943219015956277, 0.253795573647596]",-0.500534697,0.545891106
56,"Soon, Garfield realizes that ""Lunch isn't the same without Odie.","???? ??, ???????? ?? ??? ???? ?? ?? ??? ?? ???? ??? ?? ???? ???? ???","[60, 55, 70, 50]",58.75,"[-2.473569207291449, -2.8773797843156315, -0.22387098158606503, -2.169288050286309]",-1.936027006,0.725930989
57,Vidyavihar is a small suburb of Mumbai.,??????????? ????? ?? ?? ???? ????? ???,"[100, 95, 90, 90]",93.75,"[0.9691158411308884, 0.6151157815355373, 1.8281086846473429, 1.4204654666528096]",1.208201443,0.745297253
58,"Fixed-mindset individuals dread failure because it is a negative statement on their basic abilities, while growth mindset individuals don't mind or fear failure as much because they realize their performance can be improved and learning comes from failure.","??????? ???????? ???? ??????? ?????? ?? ???? ??? ??????? ?? ???? ???????? ???????? ?? ?? ????????? ???? ??, ???? ????? ???????? ???? ??????? ???? ???? ????? ??? ?? ?????? ?? ???? ??? ??????? ?? ????? ???? ??? ?? ???? ???????? ??? ????? ???? ?? ???? ?? ?? ????? ?????? ?? ??? ???","[90, 90, 59, 59]",74.5,"[0.10844457902530406, 0.17855383580414114, -1.3524597980144393, -1.3615935089750075]",-0.606763723,0.701724648
59,It is currently being operated with 12267 / 12268 train numbers.,??????? ??? ??? 12267/12268 ????? ?????? ?? ??? ??????? ???? ?? ??? ???,"[100, 95, 66, 79]",85,"[0.9691158411308884, 0.6151157815355373, -0.6342669148327466, 0.43328324949455194]",0.345811989,0.788167894
60,"For instance, Socrates taught that conflicts within society should be resolved through public argument using ‘dialectic’, a form of rational dialogue to uncover truth.","?????? ?? ???, ?????? ?? ?????? ?? ???? ?? ????? ???? ?? ??? ???????? ????? ?? ?? ??? '?????????' ?? ????? ???? ????????? ??? ?? ?????? ?? ???? ?? ???? ???????? ?? ?? ???? ???? ??????","[55, 50, 70, 74]",62.25,"[-2.9039048383442414, -3.3139417300470275, -0.22387098158606503, -0.015435940122837947]",-1.614288373,0.735883534
61,"Taking advantage of the situation in Bijapur, Ahmadnagar's Nizam Shahi sultan allied with the Qutb Shahi of Golconda to attack Bijapur.","??????? ??? ?????? ?? ??? ????? ???, ??????? ?? ????? ???? ??????? ?? ??????? ?? ???? ???? ?? ??? ???????? ?? ????? ???? ?? ??? ?????? ?????","[70, 70, 76, 78]",73.5,"[-1.6128979451858647, -1.5676939471214433, 0.39172291828395733, 0.3435394115710739]",-0.611332391,0.604149997
62,"However, a high court exercises its original civil and criminal jurisdiction only if the subordinate courts are not authorized by law to try such matters for lack of pecuniary, territorial jurisdiction.","?????, ???? ???????? ???? ?????? ????? ?? ?????? ????????? ?? ?????? ???? ??? ???? ?? ?? ??????? ???????? ?? ??????, ????????? ????????? ?? ???? ??? ??? ?????? ?? ?????? ???? ?? ??? ???? ?????? ????????? ???? ????","[95, 95, 69, 69]",82,"[0.5387802100780963, 0.6151157815355373, -0.32646996489773544, -0.4641551297402278]",0.090817724,0.705699027
63,"However, a much more accurate determination of how much fluid is necessary can be made by performing appropriate weight measurements before and after a typical exercise session, to determine how much fluid is lost during the workout.","???????, ?? ??????? ??????? ???? ?? ???? ?? ??? ??? ???? ??? ??? ????, ?? ????????? ???? ?? ??? ?? ??????? ?? ????? ????? ??? ?????? ?? ??? ??, ???? ???? ???? ???????? ???? ?? ???? ???","[95, 95, 76, 74]",85,"[0.5387802100780963, 0.6151157815355373, 0.39172291828395733, -0.015435940122837947]",0.382545742,0.729866326
64,"Bullies don't win.""",????? ???? ??????,"[90, 90, 93, 94]",91.75,"[0.10844457902530406, 0.17855383580414114, 2.135905634582354, 1.7794408183467216]",1.050586217,0.598713219
